226Ra,232Th,40K,Raeq,Theq,Keq,IG,IA,IB
-0.35377481160851987,-0.8232497513984596,0.8481319482299732,-0.6051083483440329,-0.6024915909326588,-0.714070091752632,-0.5789277736411019,-0.35377737903724793,-0.5544565668768167
-0.6919894674712406,-0.8018929931940362,0.616962675575498,-0.6735306540509536,-0.6712773526074447,-0.7311784187205428,-0.6481622693304865,-0.6919935651528277,-0.6369274577587462
-0.3533107622293348,-0.7713465307220259,0.5719715763062396,-0.5842280444204137,-0.5820545170219893,-0.693481404414404,-0.5627618441001534,-0.35331332755847056,-0.5382449857892494
-0.16962454963524343,-0.7714324158086387,0.6870775839178471,-0.5388056473113692,-0.536458110541938,-0.6759729107799637,-0.5170720110524002,-0.16962628387575795,-0.4853497138974129
-0.04201097035934853,-0.8294048492723887,0.7106059639388365,-0.5566374533777669,-0.5542120880305945,-0.7129798109363261,-0.5357229364217854,-0.04201212721197867,-0.4990912669949251
-0.3222967953871325,-0.7922738634933844,1.0,-0.5635707883200074,-0.5607508411418283,-0.677424508537521,-0.535054589168289,-0.32229922039351566,-0.5092787841853491
-0.8301214993419972,-0.9302911976804155,0.7916873477656294,-0.7894729278701688,-0.7868760772281731,-0.8256157950390645,-0.7598973705693959,-0.8301262220022274,-0.7542322149895104
-0.7911413514904511,-0.835502690421909,0.6363597340510461,-0.7185364643346993,-0.716233519239476,-0.7609809900641448,-0.6919322861064511,-0.7911458977849276,-0.6846238061081957
-0.4040468276869028,-0.8376211892250287,0.8004202225771317,-0.629972499831633,-0.6274172846555957,-0.7312407039144275,-0.6041545182965666,-0.40404962257146404,-0.5816808055095646
-0.3407040874281404,-0.8820524073661348,0.867176332915057,-0.6471212307544758,-0.6444353053754319,-0.7578428116957627,-0.6207734885932412,-0.3407065957183518,-0.5958753768410606
-0.5921415093832524,-0.8541397542169219,0.8764466154072668,-0.6755525959672349,-0.672878120151917,-0.7481578506111164,-0.64668652271035,-0.5921451553025616,-0.6315829212125788
-0.8361745594440873,-0.856343078857253,0.8623972671744622,-0.7277334847273242,-0.7250837856107106,-0.763234307954656,-0.6968439655868448,-0.8361743596089593,-0.6912896458368163
-0.9097022554772037,-0.8528329267390191,0.5568505363941636,-0.7618383164990314,-0.7596433258399111,-0.762050645252049,-0.7355094241448294,-0.909711050612548,-0.7388673465535558
-0.7307799738098264,-0.7634404077022318,0.34136527178528575,-0.6710926894716468,-0.6692733649397695,-0.7230130689889949,-0.6500731144982013,-0.7307882687786165,-0.6403466668104819
-0.12300452482948399,-0.804795995006641,0.6308673939662319,-0.5595146026156523,-0.5572257492756943,-0.703645340572846,-0.5391992392503746,-0.12300457864125736,-0.5057139621298328
-0.23838266880753256,-0.7966506820206298,0.5449903183487224,-0.5826872859097221,-0.5805333456537616,-0.70931668652725,-0.5627708152042271,-0.23838324464793959,-0.5338010926368357
-0.5805626266153896,-0.8723690642490587,0.21085895700152468,-0.7352997783978427,-0.733593904271817,-0.809648127896881,-0.7179888578887403,-0.5805593367157531,-0.7025719570927015
-0.0550043529765305,-0.8070747267530183,0.6110679850777339,-0.5489425777224621,-0.546679782086492,-0.7034033053347475,-0.5296046434434686,-0.055005568617745526,-0.49346089751541056
-0.36738692673128204,-0.807131983477427,0.42858448949738315,-0.6253950595291102,-0.6234084808930945,-0.7323826877233298,-0.6062851555140891,-0.3673895557480511,-0.582392691305825
-0.21602948755375073,-0.8321245436817991,0.35764667564395003,-0.6193873268232403,-0.6174845550672823,-0.749293552748021,-0.6029209914864222,-0.21603143175349593,-0.5731597482512956
-0.6305029247292184,-0.8253109934771707,0.5258888676855438,-0.6859470977984312,-0.6838104478523076,-0.7528592230561224,-0.6627313423463025,-0.630506744214825,-0.6491427708536697
-0.3570231572628154,-0.8405699105320737,0.3141502414866606,-0.6576920646384223,-0.655850807614038,-0.7661359475479375,-0.6406669118768447,-0.35702573938868964,-0.616439168819402
-0.31964096344849313,-0.8137565006064202,0.41991652345731634,-0.6215290121820265,-0.6195495328851937,-0.7357500927590042,-0.6030151880791969,-0.3196386585818587,-0.5772692708024354
